mission,disposition,disposition_score,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,orbital_period,transit_depth,transit_duration,impact_parameter,signal_to_noise,planet_radius_earth,planet_temp,planet_count_in_system,stellar_temperature,stellar_radius,stellar_mass,stellar_logg
Kepler,FALSE POSITIVE,0.0,0.0,0.0,1.0,1.0,2.446737317,1177.9,4.7211,1.241,110.2,26.25,1261.0,1.0,5764.0,0.863,0.959,4.548
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,3.04033046,10859.0,1.8411,0.736,568.2,8.99,1021.0,1.0,5035.0,0.791,0.754,4.519
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,15.33528675,3081.4,3.897,0.773,86.6,5.0,610.0,5.0,5251.0,0.817,0.926,4.581
Kepler,CONFIRMED,0.998,0.0,0.0,0.0,0.0,7.95825328,50.0,4.377,0.706,14.7,1.06,1074.0,4.0,5847.0,1.402,1.113,4.191
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,31.33046135,5073.8,5.176,0.798,117.2,6.5,481.0,5.0,5251.0,0.817,0.926,4.581
Kepler,FALSE POSITIVE,0.006,0.0,1.0,0.0,0.0,3.9043425,16228.0,3.831,0.709,323.4,12.28,1104.0,1.0,5810.0,0.898,0.989,4.526
Kepler,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,9.286358079,44791.0,3.49949,0.377,1671.1,17.61,796.0,1.0,5670.0,0.821,0.82,4.523
Kepler,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,3.951405455,2453.9,2.1862,1.276,117.2,31.44,1133.0,1.0,6046.0,0.869,0.953,4.539
Kepler,CONFIRMED,0.999,0.0,0.0,0.0,0.0,23.65369415,3341.8,8.2183,0.008,266.3,7.89,731.0,5.0,5739.0,1.384,1.083,4.191
Kepler,CONFIRMED,0.996,0.0,0.0,0.0,0.0,13.23352214,504.6,6.7372,0.014,49.1,3.06,888.0,5.0,5739.0,1.384,1.083,4.191
Kepler,CONFIRMED,0.997,0.0,0.0,0.0,0.0,6.15560285,285.0,4.9843,0.235,35.1,2.32,1146.0,5.0,5739.0,1.384,1.083,4.191
